id,text,label
76,وقت شما بخیر. یک سوال درباره نحوه بسته‌بندی داشتم.,polite
77,سلام. کد تخفیف جدید دارید؟,polite
78,سلام. آیا این کالا اصل هست؟,polite
79,درود. لطفاً راهنمای نصب بفرستید.,polite
80,سلام. یک سوال درباره موجودی داشتم.,polite
81,سلام. لطفاً بسته من را دوباره بررسی کنید.,polite
82,سلام. چقدر زمان می‌بره تا ارسال بشه؟,polite
83,درود بر شما. آیا امکان ارسال فوری هست؟,polite
84,سلام. می‌خواستم کاتالوگ محصول رو ببینم.,polite
85,وقت بخیر. سفارش من کی آماده می‌شه؟,polite
86,سلام. نحوه استفاده از محصول چطور است؟,polite
87,سلام. لطفاً رسید سفارش رو ارسال کنید.,polite
88,سلام. محصولی مشابه این دارید؟,polite
89,سلام. خیلی ممنون بابت راهنمایی شما.,polite
90,سلام. ارسال در چه روزهایی انجام می‌شه؟,polite
91,سلام. فقط خواستم یک تشکر ساده بکنم.,polite
92,سلام. امکانش هست محصول رو رزرو کنم؟,polite
93,سلام. می‌خواستم زمان شروع ارسال‌ها رو بدونم.,polite
94,سلام. آیا امکان تمدید مهلت پرداخت هست؟,polite
95,وقت بخیر. موجودی انبار رو چک می‌کنید؟,polite
96,سلام. اگر ممکنه قبل ارسال اطلاع بدین.,polite
97,سلام. آیا امکان بسته‌بندی هدیه وجود دارد؟,polite
98,درود. لطفاً صورتحساب رو ارسال کنید.,polite
99,سلام. من اولین‌بارمه خرید می‌کنم، لطفاً راهنمایی کنید.,polite
100,سلام. ممنون از پاسخگوییتون، فقط یک سوال کوچک دارم.,polite
101,چرا هنوز سفارشم ارسال نشده؟ لطفاً رسیدگی کنید.,semi_polite
102,من چند روزه منتظر هستم ولی تغییری نمی‌بینم.,semi_polite
103,سفارشم دیر رسیده، می‌خوام بدونم مشکل چیه.,semi_polite
104,چند بار پیام دادم هنوز پاسخی نگرفتم.,semi_polite
105,این تأخیر برای من دردسر درست کرده، لطفاً بررسی کنید.,semi_polite
106,گفته بودید امروز ارسال می‌شه، ولی نشده هنوز.,semi_polite
107,فرایند ارسال خیلی طولانی شده، لطفاً توضیح بدید.,semi_polite
108,واقعاً انتظار داشتم سریع‌تر پیگیری کنید.,semi_polite
109,چرا وضعیت سفارش من ثابت مونده؟ نگران شدم.,semi_polite
110,محصولی که فرستادید با عکس فرق داره، باید چیکار کنم؟,semi_polite
111,این بار سومه که پیام می‌دم، ممنون می‌شم پیگیری کنید.,semi_polite
112,توضیحات محصول کامل نبود، لطفاً دقیق‌تر توضیح بدید.,semi_polite
113,سفارشم اشتباه ارسال شده، لطفاً اصلاح کنید.,semi_polite
114,این تاخیر برای کار من مشکل ایجاد کرده، لطفاً کمک کنید.,semi_polite
115,نمی‌دونم چرا اینقدر طول کشیده، لطفاً وضعیت رو چک کنید.,semi_polite
116,من روی زمان ارسال حساب کرده بودم، لطفاً پیگیری کنید.,semi_polite
117,سفارش من باید دیروز می‌رسید ولی نرسیده.,semi_polite
118,راستش انتظار داشتم اطلاعات دقیق‌تری بدید.,semi_polite
119,چرا ارسال به این اندازه طولانی شده؟,semi_polite
:120,می‌شه لطفاً دقیق‌تر توضیح بدید مشکل ارسال چیه؟,semi_polite
121,من منتظر تماس پشتیبانی هستم ولی کسی تماس نگرفته.,semi_polite
122,پیش‌فاکتور اشتباهه، لطفاً اصلاحش کنید.,semi_polite
123,این موضوع داره طولانی می‌شه، لطفاً یک راه‌حل بدید.,semi_polite
124,گفته بودید موجوده ولی الان می‌گید موجود نیست.,semi_polite
125,منتظر پاسخم، لطفاً زودتر اطلاع بدید.,semi_polite
126,من به اطلاعات بیشتری نیاز دارم، لطفاً دقیق‌تر توضیح بدید.,semi_polite
127,عجیبه که اینقدر طول کشیده، لطفاً بررسی کنید.,semi_polite
128,جوابی که دادید کامل نبود، لطفاً بیشتر راهنمایی کنید.,semi_polite
129,محصول آسیب دیده رسیده، لطفاً بفرمایید چطور مرجوع کنم.,semi_polite
130,چرا شماره پشتیبانی جواب نمی‌ده؟,semi_polite
131,این مشکلی که پیش اومده باید سریع‌تر حل بشه لطفاً.,semi_polite
132,به‌نظرم باید روند پاسخ‌دهی سریع‌تر باشه.,semi_polite
133,این موضوع یکم طولانی شده، فکر نمی‌کردم اینطوری بشه.,semi_polite
134,لطفاً دقیق‌تر بگید چقدر باید صبر کنم.,semi_polite
135,این دفعه پاسخگویی خیلی کند بود، لطفاً رسیدگی کنید.,semi_polite
136,من عجله داشتم ولی ارسال هنوز انجام نشده.,semi_polite
137,محصولی که فرستادید با سفارش من هماهنگ نیست.,semi_polite
138,راستش کمی ناراحتم چون انتظار داشتم سریع‌تر رسیدگی کنید.,semi_polite
139,اگر این مشکل برطرف نشه برای من دردسر می‌شه.,semi_polite
140,لطفاً یک توضیح روشن درباره وضعیت سفارش بدید.,semi_polite
141,این بار دومه که اشتباه ارسال می‌کنید.,semi_polite
142,لطفاً مسیر ارسال رو دوباره بررسی کنید، ظاهراً اشتباهه.,semi_polite
143,یکم طول کشیده، ممنون می‌شم اگر سریع‌تر کنید.,semi_polite
144,توضیحات کامل نبود، لطفاً بیشتر توضیح بدین.,semi_polite
145,جوابی که دادید کافی نبود، لطفاً بیشتر راهنمایی کنید.,semi_polite
146,بی‌زحمت چک کنید چرا بسته من هنوز ارسال نشده.,semi_polite
147,اگر ممکنه گزارش دقیق‌تری بدید، ممنون.,semi_polite
148,محصول اشتباه ارسال شده، لطفاً راهنمایی کنید.,semi_polite
149,این تأخیر واقعا کلافه‌کننده شده، لطفاً توضیح بدید.,semi_polite
150,پاسخ شما کمی گنگ بود، لطفاً روشن‌تر توضیح بدید.,semi_polite
151,این بار پاسخ‌دهی کند شده. لطفاً رسیدگی کنید.,semi_polite
152,راستش فکر می‌کردم این موضوع ساده‌تر حل بشه.,semi_polite
153,اگر لطف کنید دقیق‌تر توضیح بدید متشکر می‌شم.,semi_polite
154,مشخص نیست بسته من الان کجاست. لطفاً بررسی کنید.,semi_polite
155,به نظر میاد خطایی در سیستم هست. لطفاً کنترل کنید.,semi_polite
156,نمی‌دونم چرا سفارش من لغو شده. لطفاً توضیح بدین.,semi_polite
157,بسته من باید زودتر می‌رسید، لطفاً بررسی فوری کنید.,semi_polite
158,چند ساعته منتظرم، هنوز پاسخی دریافت نکردم.,semi_polite
159,راستش این مشکل برام عجیب شده. لطفاً توضیح بدید.,semi_polite
160,محصولی که رسید کامل نیست. لطفاً رسیدگی کنید.,semi_polite
161,یکم دیر پاسخ دادید. لطفاً سریع‌تر باشید.,semi_polite
162,کیفیت بسته‌بندی مناسب نبود. لطفاً دقت بیشتری کنید.,semi_polite
163,این مشکل رو باید زودتر اطلاع می‌دادید لطفاً.,semi_polite
164,اگر وضعیت سفارش مشخص نیست لطفاً بفرمایید.,semi_polite
165,امیدوارم هرچه زودتر پاسخ بدید چون عجله دارم.,semi_polite
166,بهتر بود زودتر اطلاع‌رسانی می‌کردید.,semi_polite
167,به نظر می‌رسه تأخیری در روند وجود داره. لطفاً بررسی کنید.,semi_polite
168,محصول به درستی مونتاژ نشده. لطفاً راهنمایی کنید.,semi_polite
169,لطفاً دقیق‌تر توضیح بدید که مشکل از کجاست.,semi_polite
170,می‌شه لطفاً بگید بسته الان کجاست؟,semi_polite
171,این موضوع داره طولانی می‌شه. لطفاً بررسی فوری کنید.,semi_polite
172,بسته من اشتباهی به شهر دیگه رفته. لطفاً اصلاح کنید.,semi_polite
173,من هنوز پیام تأیید دریافت نکردم. لطفاً ارسال کنید.,semi_polite
174,لطفاً سریع‌تر توضیح بدید مشکل دقیقاً چیه.,semi_polite
175,این موضوع باید ساده حل می‌شد، لطفاً پیگیری کنید.,semi_polite
176,بسته من هنوز اسکن نشده. لطفاً چک کنید.,semi_polite
177,اگر امکان داره یک توضیح کامل‌تر بدید.,semi_polite
178,تفاوت قیمت روی سایت و فاکتور وجود داره. لطفاً اصلاح کنید.,semi_polite
179,راستش انتظار پاسخ سریع‌تر رو داشتم.,semi_polite
180,اگر ممکنه زمان دقیق ارسال رو اعلام کنید.,semi_polite
181,برام مهمه بدونم بسته کی می‌رسه. لطفاً چک کنید.,semi_polite
182,این مشکل چند روزه ادامه داره. لطفاً رسیدگی کنید.,semi_polite
183,من چند بار پیام گذاشتم ولی پاسخی نگرفتم.,semi_polite
184,اگر پیام منو دیدید لطفاً پاسخ بدید.,semi_polite
185,سفارشم ناقص رسیده. لطفاً بررسی کنید.,semi_polite
186,لطفاً بگید چرا ارسال انجام نشده.,semi_polite
187,پاسختون دیر رسید، لطفاً در آینده سریع‌تر باشید.,semi_polite
188,این مشکل اگر ادامه پیدا کنه اذیت‌کننده می‌شه.,semi_polite
189,اگر وقت دارید این موضوع رو پیگیری کنید.,semi_polite
190,بسته من هنوز حرکت نکرده. لطفاً بررسی کنید.,semi_polite
191,ممنون می‌شم اگر آدرس صحیح رو تأیید کنید.,semi_polite
192,لطفاً پاسخ بدید چون این موضوع برام مهمه.,semi_polite
193,می‌تونید بگید چرا محصول تأخیر خورده؟,semi_polite
194,به نظر میاد بسته من گم شده. لطفاً بررسی کنید.,semi_polite
195,جواب قبلی شما کافی نبود، لطفاً بهتر توضیح بدید.,semi_polite
196,اگر ممکنه راهنمایی کنید چطور لغو کنم.,semi_polite
197,یکم بیشتر توضیح بدید لطفاً. ممنون.,semi_polite
198,این روند ارسال طولانی شده. لطفاً بررسی کنید.,semi_polite
199,محصولی که رسید بسته‌بندی ضعیفی داشت.,semi_polite
200,اگر امکانش هست یک آپدیت بدید درباره وضعیت بسته.,semi_polite
201,این چه وضعشه؟ بسته من چرا اینقدر دیر رسید؟,impolite
202,چرا هیچکس جواب درست نمی‌ده؟ واقعاً عجیبه!,impolite
203,محصول خراب به دستم رسیده. این چه کیفیتیه؟,impolite
204,چرا باید برای یک کار ساده اینقدر منتظر بمونم؟,impolite
205,پشتیبانی‌تون اصلاً درست کار نمی‌کنه!,impolite
206,چرا سفارش منو گم کردید؟ واقعاً غیرقابل قبوله.,impolite
207,این همه تأخیر برای چیه؟ توضیح بدید لطفاً!,impolite
208,جواب‌هاتون نصفه‌نیمه‌ست. لطفاً درست توضیح بدید.,impolite
209,چرا همیشه مشکل دارید؟ واقعاً خسته‌کننده‌ست.,impolite
210,محصول اصلاً اون چیزی که گفتید نبود.,impolite
211,چرا شماره پشتیبانی همیشه اشغاله؟ مگه چند نفر تماس می‌گیرن؟,impolite
212,این همه انتظار برای چی؟ واقعاً غیرعادیه.,impolite
213,بسته من کاملاً له شده رسیده. این چه وضع بسته‌بندیه؟,impolite
214,محصول اشتباه فرستادید! چطور همچین اشتباهی می‌کنید؟,impolite
215,چرا کسی پاسخگو نیست؟ این چه نوع پشتیبانیه؟,impolite
216,همیشه باید دنبالتون بیام تا یه کار انجام بدید؟,impolite
217,محصول داخل جعبه ناقصه! واقعاً مسخره‌ست.,impolite
218,این همه تأخیر فقط بی‌نظمی شما رو نشون می‌ده.,impolite
219,چرا باید سه روز صبر کنم تا جواب بدید؟,impolite
220,اگر نمی‌تونید سفارش‌ها رو مدیریت کنید چرا فروش دارید؟,impolite
221,این رفتار اصلاً حرفه‌ای نیست.,impolite
222,محصولی که فرستادید تقلبیه. این واقعاً قابل قبوله؟,impolite
223,چرا اطلاعات اشتباه روی سایت گذاشتید؟,impolite
224,بسته به آدرس اشتباه ارسال شده! واقعاً جدی؟,impolite
225,این وضعیت افتضاحه. لطفاً اصلاحش کنید.,impolite
226,چطور ممکنه سفارشم بدون هماهنگی لغو شده باشه؟,impolite
227,این چه نوع خدماتیه واقعاً؟,impolite
228,نمی‌دونم واقعاً با چه روشی کار می‌کنید.,impolite
229,چرا بسته من چند روزه تو یک مکان ثابت مونده؟,impolite
230,این همه تأخیر یعنی چی؟ توضیح بدید.,impolite
231,کیفیت محصول خیلی پایین‌تر از چیزی بود که گفته بودید.,impolite
232,به نظرم اصلاً به پیام‌های مشتری دقت نمی‌کنید.,impolite
233,چرا اینقدر نامنظم هستید؟,impolite
234,با این روند، آدم از خرید پشیمون می‌شه!,impolite
235,بسته من نرسیده، چرا می‌گید تحویل شده؟,impolite
236,این وضعیت واقعاً آزاردهنده‌ست.,impolite
237,چرا اطلاعات اشتباه ثبت کردید؟,impolite
238,محصول کاملاً فرق داشت. انگار اشتباهی چیزی فرستادید.,impolite
239,این همه بی‌دقتی واقعاً عجیبه.,impolite
240,محصول شکستۀ به دستم رسید. این چه وضعشه؟,impolite
241,چطور اینقدر ساده اشتباه می‌کنید؟,impolite
242,دفعه آخرمه از شما خرید می‌کنم.,impolite
243,پاسخ‌هاتون هیچ کمکی نمی‌کنه.,impolite
244,چرا فاکتور اشتباه صادر کردید؟,impolite
245,نمی‌دونم واقعاً دارید چه کار می‌کنید.,impolite
246,سفارشم به آدرس همسایه رفته! این چه کاریه؟,impolite
247,چرا بسته‌بندی اینقدر بی‌کیفیت بود؟,impolite
248,محصول کار نمی‌کنه! یعنی تستش نکردید؟,impolite
249,واقعا باید این همه دردسر بکشم؟,impolite
250,جواب‌ها خیلی دیر می‌رسه. این طوری نمی‌شه!,impolite
251,به نظرم این شرکت اصلاً درست مدیریت نمی‌شه.,impolite
252,این سطح پاسخگویی اصلاً قابل قبول نیست.,impolite
253,محصول اشتباهی ارسال کردید. چطور؟,impolite
254,این کارتون اصلاً حرفه‌ای نیست.,impolite
255,چرا بسته انقدر دیر تحویل داده شد؟,impolite
256,سفارشم گم شده؟ چون هیچ آپدیتی نمی‌ده!,impolite
257,محصول رو اشتباه تحویل گرفتید. رسیدگی کنید!,impolite
258,این همه اشتباه یعنی چی؟,impolite
259,تا کی باید صبر کنم؟ این درست نیست.,impolite
260,جواب‌هاتون ضد و نقیضه.,impolite
261,بسته من برگشت خورده بدون دلیل!,impolite
262,این رویکردتون اصلاً منطقی نیست.,impolite
263,چرا سفارش من رو اشتباه ثبت کردید؟,impolite
264,محصول نیمه‌کاره به دستم رسیده!,impolite
265,کیفیت محصول اصلاً شبیه عکس نیست.,impolite
266,این چه سرویسیه واقعاً؟,impolite
267,دوباره اشتباه کردید. واقعاً عجیبه.,impolite
268,چرا اینقدر کم‌توجه هستید؟,impolite
269,محصول بدون لوازم جانبی ارسال شده!,impolite
270,این جور ارسال کردن غیر قابل قبوله.,impolite
271,پاسخ‌هاتون خیلی سطحیه. لطفاً دقیق باشید.,impolite
272,سفارشم به‌طور عجیب لغو شده. چرا؟,impolite
273,اگر نمی‌تونید انجام بدید چرا قول می‌دید؟,impolite
274,بسته به درستی بسته‌بندی نشده بود.,impolite
275,این حجم خطا پذیرفتنی نیست.,impolite
276,ارسال اشتباهی باعث شده کارم عقب بیفته.,impolite
277,چرا باید خودم دائم پیگیری کنم؟,impolite
278,این روند ارسال واقعاً کند و آزاردهنده‌ست.,impolite
279,محصول فیک فرستادید؟ این چه وضعیه؟,impolite
280,چرا اصلاً پیام‌ها رو نمی‌خونید؟,impolite
281,این پاسخ‌ها هیچ کمکی به من نمی‌کنه.,impolite
282,محصول داخل جعبه خیس بود، واقعاً چرا؟,impolite
283,این اشتباهات پشت سر هم اعصاب خردکنه.,impolite
284,اصلاً انتظاری ازتون ندارم با این عملکرد.,impolite
285,این برخورد حرفه‌ای نیست.,impolite
286,تا کی باید صبر کنم برای یک جواب ساده؟,impolite
287,محصول باز شده و استفاده شده به دستم رسید!,impolite
288,این بسته‌تون اصلاً سالم نیست.,impolite
289,چرا بسته من برگشت خورده؟ هیچ توضیحی ندادید.,impolite
290,وضوح اطلاعاتتون خیلی ضعیفه.,impolite
291,پاسخ‌هاتون خیلی غیرمسئولانه‌ست.,impolite
292,کی قرار بود پیگیری کنید؟ هیچ کاری نکردید.,impolite
293,بسته من کجاست؟ این غیرقابل قبوله.,impolite
294,این روند واقعاً ناامیدکننده‌ست.,impolite
295,چرا اطلاعات نادرست به من دادید؟,impolite
296,این نحوه رفتار با مشتری اصلاً درست نیست.,impolite
297,محصولی که فرستادید کار نمی‌کنه. توضیح بدید.,impolite
298,این حجم بی‌نظمی رو تا حالا ندیده بودم.,impolite
299,متأسفم ولی کارتون اصلاً قابل قبول نیست.,impolite
300,بسته هنوز ارسال نشده. این رفتار اصلاً درست نیست.,impolite
